30.11301.499
Time(days)     V    Verr    R    Rerr
  294.71     19.225    0.055   18.825    0.048
  296.72     19.377    0.143   18.892    0.104
  304.66     18.642    0.036   18.748    0.075
  305.75     19.412    0.135   18.907    0.097
  306.64     19.274    0.048   18.983    0.053
  308.69     19.331    0.050   18.967    0.053
  315.70     19.038    0.099   18.890    0.119
  343.68     19.754    0.254   19.227    0.171
  373.64     19.669    0.154   19.272    0.135
  393.72     19.380    0.131  -99.000  -99.000
  414.57     19.472    0.054   19.101    0.057
  419.47     19.476    0.051   19.131    0.053
  420.73     19.684    0.137   19.172    0.106
  445.65     19.504    0.096   19.169    0.086
  472.58     19.619    0.075   19.190    0.053
  474.63     19.526    0.101   19.103    0.072
  488.59    -99.000  -99.000   19.052    0.298
  501.55     19.487    0.272   19.085    0.224
  502.52     19.707    0.115   19.264    0.087
  511.53     19.592    0.131   19.144    0.102
  541.83     19.035    0.134   19.120    0.206
  561.79     19.601    0.093   19.179    0.095
  566.80     19.553    0.084   19.282    0.106
  585.72     19.390    0.358  -99.000  -99.000
  588.80     19.402    0.136   19.153    0.152
  632.66     19.434    0.082   18.987    0.062
  634.74     19.556    0.055   19.154    0.046
  645.65     19.483    0.074   19.227    0.100
  650.65     19.500    0.052   19.145    0.054
  660.65     19.431    0.037   19.112    0.045
  668.60     19.546    0.143   19.114    0.136
  684.71     19.472    0.040   19.130    0.049
  689.69     19.551    0.088   19.100    0.076
  694.68     19.415    0.083   19.073    0.073
  753.58     19.440    0.052   19.106    0.049
  757.74    -99.000  -99.000   19.477    0.244
  775.71     19.573    0.088   19.173    0.075
  782.75     19.461    0.133   19.139    0.122
  783.77     19.521    0.136   19.186    0.114
  786.74    -99.000  -99.000   18.842    0.147
  789.41     19.288    0.120   19.126    0.122
  790.77    -99.000  -99.000   19.045    0.229
  801.61     19.235    0.091   19.011    0.108
  805.71     19.542    0.202   19.070    0.129
  813.67     19.525    0.228   19.027    0.109
  823.65     19.589    0.176   19.198    0.137
  827.67     19.574    0.166   19.143    0.108
  833.66     19.784    0.171   19.222    0.092
  843.60    -99.000  -99.000   19.338    0.156
  860.56     19.718    0.169   19.119    0.098
  889.50     19.310    0.179   19.197    0.206
  916.81     19.656    0.224   19.133    0.205
  926.75     19.922    0.374   19.237    0.221
  931.75     19.286    0.196   18.881    0.163
  944.80     19.351    0.057   19.018    0.059
  954.70     19.008    0.211   18.829    0.239
  957.73     19.354    0.062   19.016    0.050
  969.77     19.479    0.167   19.164    0.163
  987.70     19.371    0.093   18.980    0.088
  995.71     19.508    0.155   19.069    0.121
 1011.68    -99.000  -99.000   19.094    0.033
 1025.65     19.502    0.049   19.188    0.049
 1043.66     19.518    0.039   19.172    0.038
 1067.72     19.494    0.028   19.153    0.032
 1069.53     19.473    0.045   19.099    0.049
 1072.72     19.590    0.123   19.055    0.102
 1073.73     19.506    0.075   19.108    0.074
 1074.53     19.444    0.049   19.189    0.054
 1074.73     19.471    0.039   19.104    0.039
 1077.73     19.819    0.306   19.022    0.200
 1082.50     19.560    0.109   19.101    0.086
 1093.66     19.294    0.074   19.125    0.108
 1105.67     19.491    0.028  -99.000  -99.000
 1107.74     19.504    0.097  -99.000  -99.000
 1117.52     19.467    0.074   19.031    0.070
 1119.58     19.450    0.051  -99.000  -99.000
 1125.50     19.438    0.103  -99.000  -99.000
 1126.67     19.503    0.064  -99.000  -99.000
 1128.74     19.465    0.125  -99.000  -99.000
 1132.59     19.509    0.037  -99.000  -99.000
 1137.66     19.527    0.068  -99.000  -99.000
 1142.76     19.304    0.211  -99.000  -99.000
 1145.75     19.730    0.264  -99.000  -99.000
 1164.65     19.535    0.101   19.095    0.078
 1166.65     19.526    0.124   19.123    0.091
 1168.64     19.524    0.227   19.230    0.164
 1172.67     19.244    0.109   19.044    0.089
 1176.67     19.486    0.256  -99.000  -99.000
 1179.60     19.414    0.058   19.057    0.053
 1182.61     19.568    0.100   19.042    0.072
 1184.61     19.395    0.077   19.028    0.068
 1187.67     19.655    0.173   19.118    0.104
 1195.61     19.382    0.096   19.046    0.065
 1209.55     19.508    0.046   19.132    0.037
 1220.56     19.336    0.099   19.087    0.105
 1250.46     19.484    0.138   19.187    0.135
 1304.74     19.454    0.099   19.295    0.129
 1310.72     19.472    0.079   19.120    0.082
 1313.69     19.294    0.144   18.998    0.138
 1315.82     19.477    0.109   19.023    0.091
 1319.65     19.485    0.103   19.123    0.071
 1321.67     19.522    0.146   19.105    0.100
 1323.70     19.697    0.202   19.093    0.148
 1325.69     19.706    0.384   19.017    0.196
 1329.65     19.604    0.068   19.164    0.053
 1332.74     19.417    0.169   19.207    0.191
 1334.77     19.506    0.039   19.153    0.040
 1338.77     19.484    0.086   19.214    0.105
 1343.63     19.403    0.083   19.085    0.069
 1347.72     19.463    0.108   19.048    0.068
 1359.56     19.463    0.091   19.095    0.090
 1364.61     19.555    0.061   19.116    0.046
 1373.74     19.455    0.089   19.122    0.071
 1384.74    -99.000  -99.000   18.932    0.149
 1399.61     19.480    0.303   19.256    0.295
 1415.68     19.519    0.047   19.148    0.046
 1423.67    -99.000  -99.000   18.217    0.330
 1438.64     19.428    0.169   19.080    0.152
 1502.70     19.486    0.179   19.145    0.162
 1509.77     19.351    0.152   18.858    0.105
 1531.62     19.405    0.032   19.073    0.031
 1549.63     19.297    0.166   18.968    0.150
 1565.54     19.099    0.221   18.724    0.189
 1589.54     19.343    0.150   18.885    0.118
 1596.49     19.359    0.054   18.938    0.045
 1606.47     19.381    0.087   18.979    0.063
 1654.83     19.220    0.080   18.938    0.096
 1685.83     19.356    0.213   18.809    0.147
 1741.71     19.261    0.082   18.899    0.083
 1748.72     19.335    0.104   19.772    0.299
 1762.74     19.313    0.087   19.062    0.122
 1762.74     19.336    0.084   18.914    0.092
 1786.60     19.105    0.066   18.881    0.074
 1796.71     19.165    0.045   18.780    0.042
 1808.72     19.237    0.032   18.934    0.035
 1817.64     19.208    0.129   18.854    0.120
 1832.61     19.236    0.042   18.895    0.048
 1844.71     19.338    0.036   19.037    0.044
 1856.76     19.270    0.052   19.013    0.051
 1861.62     19.204    0.027   18.872    0.029
 1869.61     19.265    0.034   18.908    0.036
 1871.62     19.261    0.049   18.886    0.046
 1874.50     19.253    0.050   18.916    0.048
 1875.77     19.285    0.076   18.971    0.066
 1884.67     19.391    0.145   19.020    0.118
 1895.55     19.299    0.036   18.970    0.039
 1898.53     19.288    0.048   18.948    0.051
 1902.56     19.404    0.080   18.915    0.061
 1904.69     19.456    0.130   18.964    0.070
 1907.61    -99.000  -99.000   19.053    0.170
 1910.65     19.611    0.126   19.067    0.058
 1912.58     19.539    0.406   19.175    0.324
 1918.50     19.465    0.072   19.117    0.079
 1920.58     19.521    0.081   19.071    0.067
 1923.62     19.523    0.068   19.154    0.056
 1927.57     19.561    0.082   19.147    0.066
 1930.46     19.492    0.073   19.103    0.063
 1934.49     19.599    0.097   19.182    0.065
 1941.57     19.654    0.108   19.218    0.066
 1945.50     19.578    0.082   19.117    0.066
 1956.44     19.556    0.086   19.140    0.079
 1958.51     19.568    0.123   19.142    0.091
 1970.42     19.716    0.127   19.316    0.121
 1976.44     19.742    0.106   19.257    0.085
 1979.45     19.594    0.113   19.184    0.100
 1984.44     19.682    0.068   19.192    0.049
 1990.44     19.396    0.376  -99.000  -99.000
 1993.43     19.400    0.289   19.141    0.226
 1997.40     19.496    0.181   19.154    0.138
 1999.83     19.531    0.108   19.140    0.085
 2008.41     19.798    0.154   19.309    0.110
 2011.78     19.453    0.088   19.133    0.092
 2016.38     19.715    0.190   19.225    0.126
 2022.73     19.574    0.202   19.022    0.126
 2029.72    -99.000  -99.000   19.281    0.055
 2035.72     19.487    0.087   19.187    0.095
 2038.72     19.739    0.236   19.498    0.261
 2046.78     19.519    0.062   19.147    0.054
 2051.67     19.656    0.203   19.324    0.179
 2055.71    -99.000  -99.000   19.230    0.152
 2057.74     19.570    0.083   19.119    0.049
 2059.70     19.849    0.425   19.128    0.194
 2063.78     19.707    0.149   19.264    0.159
 2080.62     19.681    0.110   19.189    0.070
 2084.77     19.618    0.064   19.223    0.057
 2093.61     19.647    0.045   19.297    0.041
 2095.66     19.548    0.067   19.215    0.062
 2096.77     19.494    0.051   19.166    0.055
 2098.67     19.579    0.039   19.252    0.038
 2101.67     19.816    0.342   19.315    0.223
 2103.66     19.507    0.144   19.267    0.135
 2108.55     19.646    0.197   19.220    0.142
 2109.72     19.606    0.243   19.059    0.163
 2111.59    -99.000  -99.000   19.413    0.093
 2112.76     19.252    0.350  -99.000  -99.000
 2121.52     19.676    0.076   19.262    0.062
 2122.75     19.604    0.054   19.269    0.053
 2144.48     19.513    0.088   19.261    0.096
 2146.61     19.560    0.074   19.183    0.071
 2148.67     19.576    0.068   19.195    0.072
 2161.58     19.529    0.081   19.157    0.078
 2170.60     19.486    0.075   19.129    0.060
 2173.71     19.769    0.182   19.210    0.123
 2180.53     19.921    0.355   19.135    0.195
 2182.55     19.572    0.046   19.223    0.044
 2188.62     19.484    0.058   19.156    0.058
 2190.70     19.476    0.187   19.079    0.160
 2202.65     19.599    0.096  -99.000  -99.000
 2209.52     19.519    0.029   19.175    0.035
 2216.71     19.545    0.064   19.202    0.063
 2219.52     19.563    0.032   19.232    0.036
 2222.58     19.585    0.033   19.214    0.036
 2227.71     19.590    0.064   19.198    0.057
 2236.52     19.529    0.222   18.946    0.126
 2238.69     19.555    0.095   19.187    0.074
 2240.62     19.235    0.162   18.940    0.152
 2242.65     19.553    0.086   19.103    0.073
 2244.66     19.650    0.153   19.221    0.117
 2246.69     19.460    0.070   19.186    0.070
 2252.47     19.500    0.084   19.092    0.079
 2252.71     19.543    0.083   19.102    0.063
 2257.53     19.468    0.073   19.184    0.075
 2258.70     19.721    0.153   19.251    0.111
 2259.68     20.063    0.258   19.389    0.110
 2265.59     19.680    0.289   19.097    0.162
 2285.60     19.609    0.099   19.268    0.088
 2287.58     19.765    0.303   19.264    0.185
 2294.55     19.785    0.148   19.265    0.094
 2308.43     19.458    0.046   19.115    0.049
 2318.43     19.418    0.151   19.083    0.114
 2328.41     19.537    0.083  -99.000  -99.000
 2335.40     19.518    0.091   19.144    0.091
 2346.42     19.518    0.097   19.254    0.082
 2360.36     19.716    0.130   19.301    0.117
 2369.78     19.535    0.170   19.163    0.155
 2373.36     19.606    0.074   19.231    0.055
 2381.81     19.681    0.180   19.090    0.102
 2401.83     19.446    0.115   18.992    0.091
 2410.70     19.342    0.191   18.979    0.133
 2425.79     19.356    0.038   19.010    0.038
 2431.71    -99.000  -99.000   18.593    0.244
 2434.71     19.148    0.158   18.767    0.137
 2439.78     19.386    0.078   19.017    0.050
 2450.65     18.914    0.233   18.687    0.251
 2461.60     19.335    0.117   18.975    0.102
 2463.54     19.356    0.075   19.020    0.064
 2466.57     19.325    0.222   18.961    0.149
 2477.73     19.280    0.049   18.973    0.052
 2484.66     19.283    0.087   18.920    0.083
 2487.69     19.267    0.051   18.928    0.054
 2490.66     19.217    0.148   18.922    0.144
 2495.71     19.259    0.085   19.038    0.088
 2498.56     19.773    0.294   19.185    0.150
 2509.66     19.315    0.039   18.984    0.037
 2516.58     19.294    0.053   18.906    0.055
 2522.72     19.320    0.085   18.960    0.076
 2525.70     19.323    0.062   18.936    0.052
 2534.68     19.370    0.085   19.049    0.078
 2547.60     19.257    0.043  -99.000  -99.000
 2549.64     19.292    0.038  -99.000  -99.000
 2556.73     19.113    0.164  -99.000  -99.000
 2558.71     19.419    0.061  -99.000  -99.000
 2561.50     19.342    0.145   19.044    0.137
 2566.69     19.321    0.037   19.029    0.041
 2572.57     19.319    0.035   19.066    0.040
 2584.66     19.363    0.125   19.050    0.114
 2598.55     19.398    0.033   19.048    0.035
 2602.53     19.288    0.043   18.980    0.052
 2605.57     19.361    0.041  -99.000  -99.000
 2617.54     19.270    0.073   19.039    0.064
 2619.59     19.488    0.239   18.881    0.133
 2624.49     19.332    0.040   19.006    0.046
 2627.44     19.334    0.045   18.968    0.053
 2631.49     19.252    0.092   19.131    0.121
 2639.52     19.381    0.077   19.091    0.085
 2653.50     19.473    0.053   19.092    0.051
 2656.45     19.417    0.028   19.092    0.031
 2662.46     19.453    0.061   19.062    0.059
 2663.47     19.382    0.049   19.035    0.054
 2666.38     19.234    0.102   18.919    0.110
 2669.38     19.354    0.056   18.999    0.054
 2676.41     19.296    0.095   19.029    0.086
 2678.43     19.381    0.040   19.036    0.039
 2681.41     19.330    0.072   19.103    0.084
 2684.41     19.386    0.028   19.064    0.032
